GeneID	Base Mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-J2S48_RS20875	4315.81681438768	-5.24838131174479	0.279240129568321	-18.7952258862589	8.26276293727932e-79	2.89444585692895e-75
gene-J2S48_RS20100	16788.1202286816	-7.60868107711821	0.42996443956406	-17.6960705979142	4.49603991943461e-70	7.87481391888973e-67
gene-J2S48_RS06520	1608.58286999565	-4.94558536349654	0.303293923022565	-16.3062461463449	8.91030186996976e-60	1.04042624835014e-56
rna-J2S48_RS07170	905.14490994612	-7.33191404298349	0.456139220498404	-16.0738513889953	3.89139344591792e-58	3.40788781026261e-55
rna-J2S48_RS12480	1516.02432856795	-7.85929769358877	0.490129940980704	-16.0351307611672	7.26305649028022e-58	5.08849737709032e-55
MSTRG.97.1	30902.4723753917	-7.55012906056535	0.512154032802119	-14.7419107865982	3.46830921094784e-49	2.02491452765838e-46
rna-J2S48_RS12475	621.267723961369	-5.37383034442897	0.37508445441047	-14.3269876456894	1.48420098125913e-46	7.42736576764392e-44
gene-J2S48_RS16660	7572.99540398537	4.86020816142695	0.339820828239425	14.3022668345762	2.1179661542599e-46	9.27404429796554e-44
MSTRG.767.1	8955.62601054122	-4.63366681400476	0.336740381451339	-13.7603538786582	4.4136117385165e-43	1.71787576889148e-40
gene-J2S48_RS02325	885.950671232426	-10.302128840143	0.767334183085044	-13.4258698064559	4.26546495331642e-41	1.49419237314674e-38
MSTRG.3499.1	4049.1759110769	-3.43417533968525	0.275959920217144	-12.4444714181067	1.49873261016508e-35	4.77278212128026e-33
gene-J2S48_RS13825	2713.92351101304	3.63714596491554	0.294614197602109	12.3454537986241	5.15427944200736e-35	1.50462007377932e-32
MSTRG.1235.1	7313.10096313686	-3.61387530426859	0.297386463762544	-12.1521176806291	5.58986763221742e-34	1.50625433197366e-31
gene-J2S48_RS00300	1287.44130367662	-3.94060721829906	0.324971280159728	-12.1260168478956	7.68997309234465e-34	1.92414112446309e-31
gene-J2S48_RS21085	1023.71707547629	-4.09597536454693	0.344548978691418	-11.8879335533173	1.36748141132411e-32	3.19352492257891e-30
gene-J2S48_RS02320	382.006073064233	-5.13373323429104	0.435573661717695	-11.7861424725408	4.6013806090117e-32	1.0074147670855e-29
gene-J2S48_RS18870	3790.70479426562	-3.49112551340347	0.297407215178248	-11.738536710722	8.08735991286513e-32	1.66647186910391e-29
gene-J2S48_RS10185	45247.2998548647	6.05033456097388	0.52879479709063	11.441743743059	2.58634354825734e-30	5.03331191641415e-28
gene-J2S48_RS13845	3299.89762144301	3.11753370173933	0.273842032557392	11.3844236132229	4.99977332451757e-30	8.81278468445568e-28
gene-J2S48_RS02120	350.654888207107	-4.65100776596154	0.408561178134196	-11.3838710452168	5.03156419323762e-30	8.81278468445568e-28
gene-J2S48_RS20595	2320.37298380218	3.4220182275637	0.301320316304226	11.3567457698693	6.86546468163561e-30	1.14522489427474e-27
gene-J2S48_RS14420	4456.22097244858	-3.61020345238773	0.321321436289311	-11.2354889673068	2.72978313430446e-29	4.34655923612205e-27
gene-J2S48_RS20105	409.630729458551	-4.04299134161858	0.365608545998009	-11.0582517445875	1.99956908193932e-28	3.04543064957975e-26
gene-J2S48_RS20885	1563.75251805243	-3.96095476123026	0.359080633293553	-11.0308225896219	2.71371455538808e-28	3.96089253646852e-26
gene-J2S48_RS16725	409.29570477761	-4.30141957556582	0.394120707185573	-10.9139649278577	9.88488585715955e-28	1.3850702063052e-25
gene-J2S48_RS12905	582.293079247695	-3.93508463207601	0.364334941468927	-10.8007335673337	3.41464476002818e-27	4.60057715168412e-25
MSTRG.3234.1	569.802485274414	-3.65274413378866	0.341327877914597	-10.7015698691409	1.00068307017646e-26	1.29829362771413e-24
gene-J2S48_RS20880	578.393541863501	-4.42047262967059	0.413697980482974	-10.685265189136	1.19307589294686e-26	1.49262316178316e-24
MSTRG.1650.1	44112.4032221786	-6.00406223837826	0.570145152397939	-10.5307608301608	6.2328647178325e-26	7.5288707264025e-24
gene-J2S48_RS04025	488.226831309275	-4.23041167885822	0.403173899994449	-10.4927716772253	9.32520064339104e-26	1.08887259512663e-23
gene-J2S48_RS16555	20120.288532667	-4.71115250399828	0.449941812967895	-10.470581680157	1.17916186060511e-25	1.33245290248378e-23
gene-J2S48_RS25950	1236.58847563249	3.09940346822424	0.296209119675475	10.4635653069018	1.26985587279009e-25	1.3900953507449e-23
gene-J2S48_RS17270	5374.8117468712	3.45172182955429	0.331009016593598	10.4278785668011	1.84971882632154e-25	1.96350456018314e-23
gene-J2S48_RS25930	570.277755219053	3.92227281873803	0.378445536445673	10.3641672077194	3.60888315723877e-25	3.71821108817865e-23
gene-J2S48_RS25910	860.097846037744	-4.15734642733798	0.402313469029671	-10.3335999099532	4.96610927469758e-25	4.97036593979018e-23
MSTRG.487.1	5097.20610955549	-3.39965904252856	0.331342943912832	-10.2602427635306	1.06438814283209e-24	1.03570879565022e-22
MSTRG.72.1	3243.92700325759	2.61333909583473	0.254976051931758	10.2493511686116	1.19140586783142e-24	1.12797155540905e-22
gene-J2S48_RS16800	449.877087726002	4.18469388968808	0.40861345922965	10.2412042363396	1.29612923014235e-24	1.19482649820754e-22
gene-J2S48_RS13780	894.074804665993	3.31594596608562	0.324735104740813	10.2112334566731	1.76605332049824e-24	1.58627814915522e-22
gene-J2S48_RS25310	2137.54820684477	2.92296148275552	0.287215835909289	10.1768813460504	2.51492394875341e-24	2.2024446481208e-22
rna-J2S48_RS06045	663.875201227452	-3.73295141201723	0.370976267111961	-10.0625073433353	8.09109502308903e-24	6.91295265021485e-22
gene-J2S48_RS06720	411.909494691217	-4.7203591982665	0.472090830261107	-9.99883686716757	1.5419747846595e-23	1.28608039777672e-21
gene-J2S48_RS12825	1548.6964418871	-3.84329838019934	0.385829219402294	-9.96113872908116	2.25465271934264e-23	1.79501101724029e-21
rna-J2S48_RS15025	361.276000460169	-5.07269716876065	0.509216346935155	-9.96177204304602	2.24033379935521e-23	1.79501101724029e-21
gene-J2S48_RS14920	19708.3142465184	-2.76545424868815	0.277820362225752	-9.95410929038021	2.41979984787013e-23	1.88367974824201e-21
MSTRG.1298.1	2743.75881960794	-3.69432756994396	0.371610085907434	-9.94140823956053	2.74912864325987e-23	2.0489782207105e-21
gene-J2S48_RS13770	59093.2245727178	-4.35577213464694	0.438109836574491	-9.94219205097974	2.72757841513771e-23	2.0489782207105e-21
